pmid,heuristic,llm_consensus
32106893,Include,Exclude
38603322,Include,Exclude
41140132,Include,Exclude
40211461,Include,Exclude
32306232,Include,Maybe
36998766,Include,Exclude
41556971,Include,Exclude
40569695,Include,Exclude
35954678,Include,Exclude
40730840,Include,Exclude
41115014,Include,Exclude
36748997,Maybe,Exclude
34857367,Maybe,Exclude
26500478,Maybe,Exclude
34992568,Include,Exclude
36495471,Include,Exclude
39851819,Maybe,Exclude
40219036,Maybe,Exclude
36814178,Maybe,Exclude
41037849,Include,Maybe
36941849,Maybe,Exclude
41822430,Maybe,Exclude
38197896,Include,Maybe
36864740,Include,Exclude
28918416,Maybe,Exclude
33028074,Maybe,Exclude
26690622,Maybe,Exclude
41454725,Maybe,Exclude
35855504,Maybe,Exclude
36606732,Include,Maybe
34375360,Maybe,Exclude
27199853,Maybe,Exclude
33835041,Maybe,Exclude
34904959,Maybe,Exclude
27378999,Maybe,Exclude
40248688,Maybe,Exclude
40291985,Maybe,Exclude
26165928,Maybe,Exclude
35722786,Maybe,Exclude
18710846,Maybe,Exclude
30427931,Maybe,Exclude
31387459,Maybe,Exclude
34860130,Maybe,Exclude
40987326,Maybe,Exclude
41860608,Maybe,Exclude
19839446,Maybe,Exclude
40422088,Maybe,Exclude
31366420,Maybe,Exclude
26441749,Maybe,Exclude
36107949,Maybe,Exclude
26236023,Maybe,Exclude
41567349,Maybe,Exclude
38571884,Include,Maybe
32500211,Maybe,Exclude
23604411,Maybe,Exclude
27100787,Maybe,Exclude
27942256,Maybe,Exclude
39307287,Maybe,Exclude
30110801,Include,Exclude
